,"Country, Other",Total Cases,Total Deaths,Total Recovered,Active Cases,Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/ 1M pop,Population,Continent,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl,Active Cases/1M pop
8,USA,110653481,1193026.0,108324158.0,1136297.0,330501.0,3563.0,1186623953.0,3544221.0,334805269.0,North America,3.0,281.0,0.0,3394.0
11,Germany,38798714,181425.0,38240600.0,376689.0,462530.0,2163.0,122332384.0,1458359.0,83883596.0,Europe,2.0,462.0,1.0,4491.0
12,Brazil,38264864,708999.0,36249161.0,1306704.0,177684.0,3292.0,63776166.0,296146.0,215353593.0,South America,6.0,304.0,3.0,6068.0
15,Italy,26701924,195752.0,26312787.0,193385.0,443092.0,3248.0,279648186.0,4640480.0,60262770.0,Europe,2.0,308.0,0.0,3209.0
16,UK,24872653,232112.0,24622738.0,17803.0,363116.0,3389.0,522526476.0,7628357.0,68497907.0,Europe,3.0,295.0,0.0,260.0
17,Russia,23825450,401693.0,23238411.0,185346.0,163405.0,2755.0,273400000.0,1875095.0,145805947.0,Europe,6.0,363.0,1.0,1271.0
19,Spain,13914811,121760.0,13762417.0,30634.0,297840.0,2606.0,471036328.0,10082298.0,46719142.0,Europe,3.0,384.0,0.0,656.0
21,Vietnam,11624114,43206.0,10640971.0,939937.0,117470.0,437.0,85826548.0,867342.0,98953541.0,Asia,9.0,2290.0,1.0,9499.0
24,Netherlands,8631646,22992.0,8605117.0,3537.0,501506.0,1336.0,25984435.0,1509718.0,17211447.0,Europe,2.0,749.0,1.0,206.0
25,Mexico,7702809,334958.0,6899865.0,467986.0,58549.0,2546.0,20013810.0,152124.0,131562772.0,North America,17.0,393.0,7.0,3557.0
27,Indonesia,6825402,161954.0,6647104.0,16344.0,24452.0,580.0,114158919.0,408975.0,279134505.0,Asia,41.0,1724.0,2.0,59.0
29,Colombia,6389995,143125.0,6208573.0,38297.0,124047.0,2778.0,36951507.0,717327.0,51512762.0,South America,8.0,360.0,1.0,743.0
31,Austria,6081287,22542.0,6054934.0,3811.0,670727.0,2486.0,211273524.0,23302116.0,9066710.0,Europe,1.0,402.0,0.0,420.0
32,Portugal,5640496,27976.0,5610307.0,2213.0,556231.0,2759.0,46139518.0,4549993.0,10140570.0,Europe,2.0,362.0,0.0,218.0
34,Chile,5338562,64497.0,5252450.0,21615.0,277325.0,3350.0,50382097.0,2617225.0,19250195.0,South America,4.0,298.0,0.0,1123.0
35,Malaysia,5257009,37323.0,5199997.0,19689.0,158434.0,1125.0,68580916.0,2066869.0,33181072.0,Asia,6.0,889.0,0.0,593.0
36,Canada,4901250,57516.0,4806456.0,37278.0,127675.0,1498.0,66572774.0,1734189.0,38388419.0,North America,8.0,667.0,1.0,971.0
37,Belgium,4853153,34376.0,4810886.0,7891.0,415927.0,2946.0,37454182.0,3209915.0,11668278.0,Europe,2.0,339.0,0.0,676.0
38,Israel,4841772,12707.0,4798473.0,30592.0,519169.0,1363.0,41373364.0,4436346.0,9326000.0,Asia,2.0,734.0,0.0,3280.0
40,Thailand,4763664,34528.0,4692636.0,36500.0,67976.0,493.0,17270775.0,246450.0,70078203.0,Asia,15.0,2030.0,4.0,521.0
41,Czechia,4754980,43465.0,4706490.0,5025.0,442868.0,4048.0,57677466.0,5371950.0,10736784.0,Europe,2.0,247.0,0.0,468.0
43,Switzerland,4448453,14452.0,4427411.0,6590.0,507025.0,1647.0,23833472.0,2716487.0,8773637.0,Europe,2.0,607.0,0.0,751.0
44,Philippines,4140383,66864.0,4067381.0,6138.0,36800.0,594.0,36102746.0,320888.0,112508994.0,Asia,27.0,1683.0,3.0,55.0
45,South Africa,4076463,102595.0,3912506.0,61362.0,67095.0,1689.0,26795090.0,441027.0,60756135.0,Africa,15.0,592.0,2.0,1010.0
46,Romania,3517100,68781.0,3443588.0,4731.0,184806.0,3614.0,28500725.0,1497568.0,19031335.0,Europe,5.0,277.0,1.0,249.0
48,Singapore,2977715,1933.0,2952270.0,23512.0,501000.0,325.0,24756666.0,4165302.0,5943546.0,Asia,2.0,3075.0,0.0,3956.0
49,Hong Kong,2926348,14434.0,2910121.0,1793.0,384828.0,1898.0,76127725.0,10011143.0,7604299.0,Asia,3.0,527.0,0.0,236.0
